Year,Semester,Region,Country,Disease,Animal category,Species,Vaccine type,Number of vaccinated
2005,Jul-Dec 2005,Africa,Kenya,Infectious bursal disease (Gumboro disease),Domestic,Birds,-,-
2005,Jul-Dec 2005,Asia,Kuwait,Fowl pox (-2005),Domestic,Birds,-,586000
2005,Jul-Dec 2005,Asia,Kuwait,Avian infectious laryngotracheitis,Domestic,Birds,-,1022000
2005,Jul-Dec 2005,Asia,Kuwait,Infectious bursal disease (Gumboro disease),Domestic,Birds,-,17897000
2005,Jul-Dec 2005,Asia,Kuwait,Avian infectious bronchitis,Domestic,Birds,-,17938500
2005,Jul-Dec 2005,Asia,Kuwait,Newcastle disease virus (Inf. with),Domestic,Birds,-,33498000
2005,Jul-Dec 2005,Asia,Laos,Newcastle disease virus (Inf. with),Domestic,Birds,-,991685
2005,Jul-Dec 2005,Asia,Laos,Fowl cholera (-2011),Domestic,Birds,-,1487525
2005,Jul-Dec 2005,Europe,Latvia,Marek's disease (-2011),Domestic,Birds,-,2210057
2005,Jul-Dec 2005,Europe,Latvia,Infectious bursal disease (Gumboro disease),Domestic,Birds,-,4330582
2005,Jul-Dec 2005,Europe,Latvia,Newcastle disease virus (Inf. with),Domestic,Birds,-,5583762
2005,Jul-Dec 2005,Europe,Latvia,Avian infectious bronchitis,Domestic,Birds,-,6195130
2005,Jul-Dec 2005,Asia,Lebanon,Marek's disease (-2011),Domestic,Birds,-,2000000
2005,Jul-Dec 2005,Asia,Lebanon,Newcastle disease virus (Inf. with),Domestic,Birds,-,23500000
2005,Jul-Dec 2005,Asia,Lebanon,Avian infectious bronchitis,Domestic,Birds,-,53000000
2005,Jul-Dec 2005,Asia,Lebanon,Avian infectious laryngotracheitis,Domestic,Birds,-,53000000
2005,Jul-Dec 2005,Asia,Lebanon,Infectious bursal disease (Gumboro disease),Domestic,Birds,-,53000000
2005,Jul-Dec 2005,Africa,Lesotho,Mycoplasma gallisepticum (Avian mycoplasmosis) (Inf. with),Domestic,Birds,-,-
2005,Jul-Dec 2005,Africa,Lesotho,Newcastle disease virus (Inf. with),Domestic,Birds,-,-
2005,Jul-Dec 2005,Africa,Libya,Avian infectious bronchitis,Domestic,Birds,-,27500000
2005,Jul-Dec 2005,Africa,Libya,Infectious bursal disease (Gumboro disease),Domestic,Birds,-,27500000
2005,Jul-Dec 2005,Africa,Libya,Newcastle disease virus (Inf. with),Domestic,Birds,-,27500000
2005,Jul-Dec 2005,Africa,Libya,Fowl pox (-2005),Domestic,Birds,-,-
